date,code,open,high,low,close,preclose,pctChg,volume,amount,ret,nav
2026-04-09,sh.000001,3967.6296,3979.1271,3955.2458,3966.1712,3994.9975,-0.72156,54156980100,902481840100.8,-0.0072155990085099875,0.9857719186779734
2026-04-10,sh.000001,3985.464,4011.0243,3979.814,3986.2247,3966.1712,0.505614,54641554100,955664107213.6,0.0050561357512757255,0.9907561153186047
2026-04-13,sh.000001,3971.1985,3991.2622,3966.1981,3988.558,3986.2247,0.058534,54578176800,919436481788.0,0.0005853408113194458,0.9913360453069651
2026-04-14,sh.000001,4006.7267,4026.6256,3992.4071,4026.6256,3988.558,0.95442,57025900300,998435132019.7,0.009544201187496881,1.0007975559677922
2026-04-15,sh.000001,4039.4711,4050.6208,4020.9039,4027.2095,4026.6256,0.014501,56945858900,1028851871452.4,0.00014500975705322716,1.0009426813782425
2026-04-16,sh.000001,4030.1378,4057.8314,4028.9086,4055.5468,4027.2095,0.703646,54587696700,976565489654.5,0.007036460357972452,1.0079857748763632
2026-04-17,sh.000001,4043.3813,4058.6041,4038.4287,4051.4254,4055.5468,-0.101624,54879140600,1013520660231.1,-0.0010162378103983905,1.0069614216195901
2026-04-20,sh.000001,4053.3745,4083.1902,4051.685,4082.1271,4051.4254,0.7578,58984137900,1084578006427.0,0.007577999585034911,1.0145921748547695
2026-04-21,sh.000001,4075.8454,4086.6369,4062.1326,4085.0766,4082.1271,0.072254,57668945000,1033349016214.4,0.0007225399718691072,1.0153252582562478
2026-04-22,sh.000001,4074.8131,4106.8441,4074.6796,4106.2581,4085.0766,0.518509,58246634600,1093625892373.6,0.005185092490064935,1.0205898136278053
2026-04-23,sh.000001,4110.7883,4114.8443,4070.4598,4093.2501,4106.2581,-0.316785,67116609200,1234396207619.2,-0.003167847632373544,1.01735674060308
2026-04-24,sh.000001,4081.0326,4092.6131,4061.1453,4079.9004,4093.2501,-0.326139,60503179800,1143000195131.0,-0.0032613936783388864,1.0140387397606616
2026-04-27,sh.000001,4074.8109,4092.8305,4071.0803,4086.3442,4079.9004,0.15794,58995086700,1136051921709.8,0.0015794013010710373,1.0156403138655759
2026-04-28,sh.000001,4076.1431,4090.2014,4062.872,4078.6374,4086.3442,-0.188599,60050749800,1113955561935.5,-0.0018859889482633063,1.0137248274582147
2026-04-29,sh.000001,4061.8221,4112.1518,4061.8221,4107.5144,4078.6374,0.708006,61422145100,1126615371064.6,0.007080060610438199,1.020902060678925
2026-04-30,sh.000001,4107.2974,4118.7552,4100.9656,4112.1593,4107.5144,0.113083,65691272800,1276194739057.5,0.0011308298760925872,1.022056527229705
